date,grand_prix,winner,scraped_at
16 Mar,Flag of AustraliaAustralia,LandoNorrisNOR,2025-08-27T16:15:14.763865
23 Mar,Flag of Peopleâ€™s Republic of ChinaChina,OscarPiastriPIA,2025-08-27T16:15:14.764304
06 Apr,Flag of JapanJapan,MaxVerstappenVER,2025-08-27T16:15:14.764816
13 Apr,Flag of BahrainBahrain,OscarPiastriPIA,2025-08-27T16:15:14.765083
20 Apr,Flag of Saudi ArabiaSaudi Arabia,OscarPiastriPIA,2025-08-27T16:15:14.765401
04 May,Flag of United States of AmericaMiami,OscarPiastriPIA,2025-08-27T16:15:14.765662
18 May,Flag of ItalyEmilia-Romagna,MaxVerstappenVER,2025-08-27T16:15:14.765859
25 May,Flag of MonacoMonaco,LandoNorrisNOR,2025-08-27T16:15:14.766021
01 Jun,Flag of SpainSpain,OscarPiastriPIA,2025-08-27T16:15:14.766171
15 Jun,Flag of CanadaCanada,GeorgeRussellRUS,2025-08-27T16:15:14.766318
29 Jun,Flag of AustriaAustria,LandoNorrisNOR,2025-08-27T16:15:14.766460
06 Jul,Flag of Great BritainGreat Britain,LandoNorrisNOR,2025-08-27T16:15:14.766600
27 Jul,Flag of BelgiumBelgium,OscarPiastriPIA,2025-08-27T16:15:14.766737
03 Aug,Flag of HungaryHungary,LandoNorrisNOR,2025-08-27T16:15:14.766875
